[RUN] passes=5 max_updates=120 delay_ms=1100
[RUN] pass 1/5 started...
Loading provinces/districts...
Loading POIs...
POI loaded: 27008
Mismatch candidates: 989
[1] St. Simon Manastırı | Hatay: - -> Defne
[49] Melas Hotel İstanbul | İstanbul: - -> Beşiktaş
[50] Belgrad Ormanı Koşu Parkuru | İstanbul: - -> Sarıyer
[51] Pinhan Otel Kazdağları | Çanakkale: - -> Ayvacık
[52] Taş Fabrika | Manisa: - -> Şehzadeler
[53] Pazarcık Kartalkaya Et Mangal | Kahramanmaraş: - -> Pazarcık
[54] Hilton İstanbul Kozyatağı | İstanbul: - -> Kadıköy
[55] Adatepe Zeytinyağı Müzesi | Çanakkale: - -> Ayvacık
[56] Sultansazlığı Milli Parkı | Kayseri: - -> Yeşilhisar
[57] SULTAN SOMATI & THE TABLE OF SULTAN (FİNE DİNİNG RESTAURANT) | Konya: - -> Karatay
[58] Kapıkaya Kanyonu | Adana: - -> Karaisalı
[59] Kas Marina Seyir | Antalya: - -> Kaş
[60] Hotel Çamkar | Kars: - -> Sarıkamış
[61] Tarihi Kadıköy Saray Lokantası | İstanbul: - -> Kadıköy
[62] KOZA HOTEL ADANA | Adana: - -> Seyhan
[63] HUZUR LOKANTASI | Ankara: - -> Kızılcahamam
[64] Ormancı Cağ Kebap | Kars: - -> Sarıkamış
[65] Sarıkamış Aras Otel | Kars: - -> Sarıkamış
[66] Radisson Collection Hotel, Vadistanbul | İstanbul: - -> Sarıyer
[67] Suluhan Nasuh Paşa Hanı | Ankara: - -> Beypazarı
[68] Sokak Ağzı Plajı | Çanakkale: - -> Ayvacık
[69] Şato 79 Et Mangal | Bursa: - -> İnegöl
[70] Köfteci Yusuf | Afyonkarahisar: - -> Sultandağı
[71] Eski Tamirhane Binası | İzmir: - -> Urla
[72] Kültür Park | Yozgat: - -> Boğazlıyan
[73] İnözü Kelebek Vadisi Tesisleri Beypazarı | Ankara: - -> Beypazarı
[74] Masiva Et & Balık Restaurant Bungalov Evler | Tunceli: - -> Ovacık
[75] Marblue Hotel | Mardin: - -> Artuklu
[76] Finike Çorbacısı | Antalya: - -> Finike
[77] Muş bulanik | Muş: - -> Bulanık
[78] Soğuksu Köprüsü | Mersin: - -> Aydıncık
[79] Abdülmecid Efendi Köşkü | İstanbul: - -> Üsküdar
[80] Giritligil Hotel (Müze Otel) | Manisa: - -> Şehzadeler
[81] Kayseri Kalesi | Kayseri: - -> Melikgazi
[82] Holiday Inn Istanbul - Kadikoy | İstanbul: - -> Kadıköy
[83] Efteni Değirmendere | Düzce: - -> Gölyaka
[84] Trabzon Tarih Müzesi | Trabzon: - -> Ortahisar
[85] İnegöl Avm | Bursa: - -> İnegöl
[86] Eski Talas | Kayseri: - -> Talas
[87] Harbiye Askeri Müze ve Kültür Sitesi Komutanlığı | İstanbul: - -> Şişli
[88] Radisson Residences Vadistanbul | İstanbul: - -> Sarıyer
[89] Aida Vino E Cucina | İstanbul: - -> Kadıköy
[90] Kırmızı Ocakbaşı | İzmir: - -> Urla
[91] Radisson Blu Hotel, Trabzon | Trabzon: - -> Ortahisar
[92] Gazlıgöl Afion Thermal Otel | Afyonkarahisar: - -> İhsaniye
